sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AC0128-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0129-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0130-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0131-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0132-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0133-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0134-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0135-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0136-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0137-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0138-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0139-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0140-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0141-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0142-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0143-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0144-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0145-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0146-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0147-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0148-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0149-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0150-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0151-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0152-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0153-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0154-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0155-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0156-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0157-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0158-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0159-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0160-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0161-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0162-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0163-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0164-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0166-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0167-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0168-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0169-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0170-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0171-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
